station_id,WoodyIntensity_mean,WoodyIntensity_stdev,WoodyIntensity_min,WoodyIntensity_max
410730,37.94592022895813,15.324604511260986,1.0000000000000009,72
410731,26.522991061210632,14.157615602016449,0,70
410734,36.82129979133606,18.276970088481903,0,78
410705,24.21034872531891,20.737750828266144,0,90.00000000000001
410761,25.226694345474243,18.757562339305878,0,86.00000000000001
410033,28.9908230304718,19.050447642803192,0,74
410047,25.0346839427948,24.39284175634384,0,94
410061,34.54951047897339,25.623124837875366,1.0000000000000009,93
410088,46.20358943939209,12.356597930192947,9.000000000000007,91.00000000000001
410156,8.203236758708954,6.359186768531799,0,51
412029,3.4891877323389053,6.425116211175919,0,44.99999999999999
412066,25.556907057762146,18.794643878936768,0,82
416003,29.524332284927368,17.181716859340668,0,71
422202B,27.88870334625244,12.547868490219116,0,50
422306A,50.18579363822937,18.279509246349335,5.000000000000004,89.00000000000001
422319B,26.48105025291443,22.627149522304535,0,89.00000000000001
422321B,41.91736578941345,14.9356409907341,7.000000000000006,81
422334A,10.550303012132645,14.34495598077774,0,59.00000000000001
422338A,22.703438997268677,12.646037340164185,0,53
422394A,35.60267686843872,21.233557164669037,0,88.00000000000001
A4260533,8.770795166492462,8.793478459119797,0,58.00000000000001
401203,25.353538990020752,19.513550400733948,0,92
401208,52.85354256629944,20.887137949466705,4.0000000000000036,94
401210,53.91421914100647,14.373861253261566,2.0000000000000018,83
401212,51.20765566825867,13.0025714635849,10.000000000000009,86.00000000000001
401216,33.47260653972626,20.766396820545197,0,92
401217,39.383092522621155,12.75734156370163,4.0000000000000036,76
401220,39.21273052692413,22.232237458229065,0,88.00000000000001
402204,27.851420640945435,23.54886680841446,0,92
402206,51.88077688217163,18.989303708076477,1.0000000000000009,83
403214,27.755984663963318,23.440656065940857,0,88.00000000000001
403217,45.14803886413574,16.421030461788177,0,81
403221,20.35822421312332,13.716113567352295,0,84.00000000000001
403226,33.769798278808594,18.906082212924957,0,78
403232,54.04754877090454,9.284023195505142,15.000000000000014,82
404207,36.73689365386963,24.620558321475983,1.0000000000000009,96
405205,59.934449195861816,28.353410959243774,0,99
405209,46.065568923950195,25.388315320014954,0,99
405212,14.122630655765533,9.337522089481354,0,57.00000000000001
405214,38.46208453178406,28.24331820011139,0,96
405215,55.447590351104736,12.680916488170624,10.000000000000009,93
405217,44.01344954967499,26.647621393203735,1.0000000000000009,99
405219,55.17135262489319,13.121289014816284,12.00000000000001,92
405226,7.070980966091156,8.090617507696152,0,52
405227,71.45130634307861,12.0193712413311,27,99
405228,18.543170392513275,12.071366608142853,0,85.00000000000001
405229,20.823152363300323,17.532405257225037,0,43.99999999999999
405230,15.21310806274414,15.163035690784454,0,44.99999999999999
405231,28.863579034805298,15.420596301555634,1.0000000000000009,75
405238,15.58513343334198,18.19760799407959,0,71
405240,11.611273139715195,13.0814790725708,0,71
405241,76.07237696647644,20.00349462032318,6.000000000000005,99
405245,9.101559966802597,7.758262753486633,0,50
405248,24.03549998998642,14.804619550704956,0,44.99999999999999
405251,43.440017104148865,22.375884652137756,3.0000000000000027,87.00000000000001
405264,77.44258642196655,9.853537380695343,34.00000000000001,99
405274,19.535835087299347,15.198881924152374,0,71
406214,21.339334547519684,12.000029534101486,0,52
406224,5.238192528486252,9.217891097068787,0,40.99999999999999
406226,18.42143088579178,13.664670288562775,0,51
406235,8.955848217010498,9.688609838485718,0,62.000000000000014
406250,40.27308225631714,22.883431613445282,1.0000000000000009,84.00000000000001
407214,20.074939727783203,20.157603919506073,0,76
407253,16.282150149345398,13.392339646816254,0,50
408202,18.594709038734436,18.339145183563232,0,79
408206,16.486509144306183,16.448402404785156,0,79
415237,10.724139958620071,10.016532987356186,0,46
415238,15.97282737493515,14.662474393844604,0,72
415245,23.856689035892487,24.41074848175049,0,88.00000000000001
