Number,Smin,Smax,w,S
212209,-1294.6003729159584,815.7830233414061,2.0837872828950057,2110.3833962573644
215207,-166.53334856072547,103.04103738018239,3.3471664105306846,269.57438594090786
216002,-532.1652326951221,288.63729783688177,3.067854696205781,820.8025305320039
218001,-255.97262254128964,164.0197244896426,2.563529152283725,419.99234703093225
219001,-561.0420565876461,350.1379571349571,2.063971642432556,911.1800137226032
221207,-133.81137969896577,224.69892832064215,3.1201452629485917,358.5103080196079
221210,-66.13235412371296,140.02518605442674,4.884125653535356,206.1575401781397
222206,-78.46893046923037,456.07536939183774,7.450579299364794,534.5442998610681
222213,-70.76872151563293,471.4979723736469,6.997276662215153,542.2666938892798
223202,-44.69315154528283,158.54871811904377,6.555152734856713,203.2418696643266
224206,-36.2675005528763,232.9511266655718,3.914756973088665,269.2186272184481
225110A,-82.61672720483693,510.3318098890595,9.999939966880763,592.9485370938964
225219,-101.50992001780651,198.6985053555909,2.812659470391392,300.2084253733974
226220,188.79336891463333,3819.7549535756007,9.999954273566281,3630.961584660967
226222,-250.89649087022008,720.6061579594098,9.999936516070795,971.5026488296298
226407,-1047.6023138536775,524.5733391489866,2.464094675599303,1572.1756530026641
227226,-84.59528704175136,133.17151835057302,3.333174634711074,217.7668053923244
229661A,124.86056144095221,2999.7915268870456,9.999952108497066,2874.9309654460935
230210,-71.93926272155716,229.08672637160635,6.904525246180009,301.0259890931635
231213,-64.05309131224203,227.30414805859255,5.053516481538275,291.3572393708346
235205,-987.3428817662252,1251.067748731566,2.8015800454940876,2238.4106304977913
236213,-19.89904176620894,62.48289894872687,4.603056825002386,82.38194071493581
238208,-55.41122850615284,136.9281644744642,3.7204456635579426,192.33939298061705
302214,-173.53666939874256,330.7196566496459,3.4041691869833737,504.2563260483885
304499,-181.92782955889197,192.907373035403,2.3437210049697876,374.83520259429497
305202,-112.39893092486818,196.30428123245656,4.606794374320855,308.70321215732474
314207,-312.29052052978295,348.28655595962846,2.8558639152776717,660.5770764894114
314213,-92.82267776015351,186.53197235328116,2.3957524050382295,279.3546501134347
318076,-243.00717523034655,600.8047559564475,6.747189409420027,843.811931186794
401203,96.50361667576692,1246.5866743881452,9.999948991286411,1150.0830577123784
401208,-97.276874328958,441.87064169254154,4.519743625117622,539.1475160214995
401210,-209.0964035524387,806.017517875167,4.598423999958781,1015.1139214276056
401212,-191.40133476437222,456.8449909235278,2.7335919595026317,648.2463256879
401216,-27.083493391840648,1903.89138548576,9.999953036769448,1930.9748788776008
401217,-163.7473584724321,657.792801414078,5.737831008152826,821.5401598865101
402204,-93.77155295844682,362.2888080243174,4.247571129156182,456.0603609827642
402206,-111.53838313624578,740.31916891328,9.845023228491153,851.8575520495258
402213,-123.73255950254247,380.59045886510285,4.470776876969915,504.3230183676453
403214,-99.15681512036008,429.1293713789928,8.032286777667249,528.2861864993529
403217,-103.41501858602919,829.4806728504482,4.859884279312564,932.8956914364774
403221,-139.41412339718613,221.76516357031323,3.353762839161106,361.17928696749937
403222,-98.77349393230452,425.9250154744077,4.411533674755834,524.6985094067122
403226,-111.97175361027064,293.31633863985735,3.2515273851809776,405.288092250128
403232,-50.30364080681693,2601.5455686239548,9.999951288342606,2651.8492094307717
404207,-82.96596626020744,206.26024285173116,3.7930689857548927,289.2262091119386
405205,-209.57164865524464,416.40951534717897,3.344202481481141,625.9811640024236
405209,-214.25952514648816,292.29907867674365,3.0919944426552894,506.5586038232318
405215,-288.57962931915336,219.70565710675146,2.387150845778146,508.2852864259048
405217,-94.16293401605344,181.45818827874245,3.8148715503259676,275.6211222947959
405218,-292.9408590707744,160.4493762879556,1.9643514950924623,453.39023535873
405219,-117.36817441427047,140.15978089187047,2.6020355940306246,257.52795530614094
405226,-53.42664488457103,87.59765374200651,3.1915404997636094,141.02429862657755
405227,-143.9538257627155,378.1421119879269,4.03542010049349,522.0959377506424
405238,-72.57693265091712,192.56390700422526,3.2521365815016847,265.1408396551424
405245,-98.49276658140207,174.05272589864217,4.324040551867654,272.54549248004423
405248,-32.88638870295017,94.3607318987979,3.7634922674856823,127.24712060174807
405251,-59.07541087464426,239.8300324467309,4.209625298450691,298.9054433213752
405264,-254.37003065201134,541.6966411056019,6.958188479000924,796.0666717576132
405274,-78.21749893802962,134.83555218154288,2.98783133558707,213.0530511195725
406208,-130.0764050592943,243.6724091012111,5.170943355539299,373.7488141605054
406213,-40.78113825961418,122.94217465262227,3.6238435296080276,163.72331291223645
406214,-31.290211000437466,102.49845955378623,3.411176197969954,133.7886705542237
407214,-58.344810411862454,67.25400362616892,3.7769981669615134,125.59881403803138
407215,-44.46428713920341,105.7551502271399,3.622119898219512,150.2194373663433
407230,-58.86605232916372,73.70868744064501,3.7400876280885993,132.57473976980873
407253,-16.919990540253366,93.0009233410965,2.9726434140750113,109.92091388134986
408202,-131.86810634952053,71.03565451809845,3.461575342455434,202.90376086761898
410061,-162.15004321202423,357.4224394714802,3.492808373179601,519.5724826835044
410730,-95.67912472877595,212.97411023085078,4.120267559344902,308.65323495962673
410731,-37.90234929457665,167.0016129990836,5.9671640124181184,204.90396229366024
410734,-101.68367155042938,120.54946464608292,4.847423458670256,222.2331361965123
412066,-162.09580640986167,104.79297146733188,3.7623229436024057,266.88877787719355
415207,-48.53383003997533,46.2213091595404,3.7463987021230536,94.75513919951572
415237,-36.2148098354769,40.05774315496092,3.6595180950982993,76.27255299043782
416003,-165.26334050381956,79.72866434643493,4.040160331266117,244.9920048502545
