Station_Nu,mean
215207,26.274871683120733
216002,22.448413705825825
218001,24.985613489151007
219001,25.182564496994008
302214,33.709007453918474
222213,25.05362730026245
225020A,35.78398122787475
225110A,33.49540796279908
229661A,36.82439460754396
231213,30.509397220611557
401203,28.074630069732674
401210,28.505784702301018
401217,27.421013545989975
405205,37.18363685607908
405209,36.62075309753419
405215,29.637585163116476
405264,35.46387214660644
408202,29.0325695514679
410061,31.844681835174576
410730,25.763288116455094
410731,23.428823328018165
410734,24.454717922210694
412066,26.952237367630005
307473,44.79941062927243
304499,35.67067575454711
305202,33.74091472625733
314207,44.07672729492187
314213,40.94625797271726
212209,30.422707176208487
212260,25.621369171142593
221207,29.26786737442016
221210,23.641837596893286
222206,25.06902179718017
223202,23.69009222984314
224206,28.335996437072723
225219,29.80061063766479
226220,40.11029186248778
226222,37.8007360458374
226407,35.5550500869751
227226,38.72901811599729
230210,30.598217678070064
235205,40.33946247100831
236213,33.70941648483277
238208,29.21101183891295
401208,26.945648860931417
401212,28.07258987426758
401216,29.97103958129882
402204,28.499103355407712
402206,29.725340938568124
402213,28.125644969940176
403214,29.404447555542
403217,32.02667789459227
403221,27.55673408508299
403222,30.297681808471694
403226,30.912959957122826
403232,29.705314731597902
404207,30.162130355834968
405217,34.22775983810425
405218,30.07117004394534
405219,30.773037815094032
405226,33.17728452682493
405227,33.835922050476064
405238,26.583549928665157
405245,32.75477743148804
405248,32.74299097061159
405251,29.244000816345224
405274,30.377517890930175
406208,31.946414184570322
406213,32.24685974121095
406214,32.061244773864765
406224,38.75953426361085
407214,33.22432470321654
407215,30.624361371994006
407230,34.81226291656498
407253,37.561546516418446
408200,34.881489562988286
415207,26.727374649047867
415237,33.45465583801272
416003,26.254220581054682
318076,32.450877189636245
