Number,mean
215207,71.02394104003906
216002,73.98821258544922
218001,68.78433990478516
219001,60.98694610595703
302214,68
222213,69.75074768066406
225020A,68
225110A,71.541595458984375
229661A,73.0107421875
231213,66.80025482177734
401203,67.7465591430664
401210,66.94580078125
401217,67.891387939453125
405205,68.17356872558594
405209,67.87299346923828
405215,69.5055923461914
405264,71.9870376586914
408202,68.428802490234375
410061,59.70841598510742
410730,71.4723892211914
410731,68.5375747680664
410734,71.26366424560547
412066,69.55280303955078
307473,66.71602630615234
304499,64.667449951171875
305202,63.49553298950195
314207,62.051063537597656
314213,58.72196578979492
212209,65.178802490234375
212260,72.58995819091797
221207,68.57950592041016
221210,70.5678939819336
222206,69.43867492675781
223202,67.73807525634766
224206,72.57476806640625
225219,79.10765075683594
226220,71.53721618652344
226222,73
226407,76.60669708251953
227226,76.15208435058594
230210,67.6796646118164
235205,80.00000762939453
236213,59.59394073486328
238208,73.991790771484375
401208,70.38378143310547
401212,67.94351959228516
401216,68.32460021972656
402204,69.4937973022461
402206,67.70526123046875
402213,70.550079345703125
403214,69.35679626464844
403217,70.12578582763672
403221,70.91358947753906
403222,67.51897430419922
403226,67.51557159423828
403232,67.367767333984375
404207,65.04960632324219
405217,67.08860778808594
405218,72.85414123535156
405219,70.82337951660156
405226,62.46497344970703
405227,72.078521728515625
405238,72.67225646972656
405245,72.33409881591797
405248,67.75269317626953
405251,72.0599594116211
405274,68.50337219238281
406208,66.467803955078125
406213,62.36886978149414
406214,67.453704833984375
406224,63.57892608642578
407214,57.340049743652344
407215,64.95023345947266
407230,59.542057037353516
407253,64.80134582519531
408200,66.34558868408203
415207,68.18929290771484
415237,67.527984619140625
416003,70.42053985595703
318076,65.3124771118164
