Station_Nu,SoilDepth_mean
"215207",0.829705655574799
"216002",0.885625839233398
"218001",0.831953346729279
"219001",0.801463961601257
"302214",0.864518523216248
"222213",0.882799565792084
225020A,1.03682923316956
225110A,0.996970534324646
229661A,1.01995193958282
"231213",0.992262423038483
"401203",0.88703465461731
"401210",1.02942538261414
"401217",0.981541991233826
"405205",1.0018607378006
"405209",1.02482724189758
"405215",0.968408167362213
"405264",1.01230621337891
"408202",0.906791269779205
"410061",1.01318180561066
"410730",0.864343643188477
"410731",0.745160579681396
"410734",0.729335606098175
"412066",0.795543372631073
"307473",0.818673491477966
"304499",0.874357759952545
"305202",0.871568202972412
"314207",0.910737693309784
"314213",0.920021593570709
"212209",0.966323912143707
"212260",0.77704644203186
"221207",0.995613634586334
"221210",0.869337797164917
"222206",0.845551192760468
"223202",0.800102114677429
"224206",0.914356768131256
"225219",0.907258272171021
"226220",1.04350924491882
"226222",1.02371895313263
"226407",0.978243052959442
"227226",0.978877782821655
"230210",0.960456609725952
"235205",0.913599967956543
"236213",0.967909514904022
"238208",0.926898896694183
"401208",1.01170516014099
"401212",0.978468418121338
"401216",0.941525042057037
"402204",1.03467130661011
"402206",1.08992421627045
"402213",1.03462588787079
"403214",1.12699913978577
"403217",1.08228361606598
"403221",0.973389685153961
"403222",1.03708255290985
"403226",1.04444670677185
"403232",1.06499171257019
"404207",1.02937507629395
"405217",1.02218127250671
"405218",0.971339225769043
"405219",0.988674521446228
"405226",0.95923113822937
"405227",1.01526319980621
"405238",0.922584533691406
"405245",1.03534519672394
"405248",0.907865285873413
"405251",0.954347014427185
"405274",0.942324757575989
"406208",0.991564631462097
"406213",0.966127872467041
"406214",0.883617699146271
"406224",0.901184439659119
"407214",0.966575980186462
"407215",0.932692229747772
"407230",0.960509121417999
"407253",0.914349257946014
"408200",0.887197911739349
"415207",0.896910846233368
"415237",0.925896942615509
"416003",0.73584920167923
"318076",0.931914746761322
