station_id,Smin,Smax,w,S
401203,-31.607182971800775,427.42975094060563,3.097677357035669,459.0369339124064
401208,-26.53994688270589,584.2923302322348,3.7497646250794068,610.8322771149407
401210,-30.68656212535449,358.0926859375901,1.9417375522716216,388.7792480629446
401212,-47.16845428935359,353.67999867822704,1.6807065996549193,400.8484529675806
401216,-34.20098676526544,480.2055807598267,1.9139415469744896,514.4065675250922
401217,-19.968081239686626,389.24490135594186,2.49395381692207,409.2129825956285
401220,-6.9554855710933765,516.6711138379599,3.614821235617394,523.6265994090533
402204,-8.843618111988924,531.4542098453884,3.1230703966042133,540.2978279573773
402206,-12.719306584343315,671.1009087857553,3.8606717902137335,683.8202153700986
403214,-7.645252595713757,605.2362489283807,4.623729782359348,612.8815015240945
403217,-16.67712790195759,640.0764217240466,2.695453543199992,656.7535496260041
403221,-1.583370725736284,374.84598380323416,2.354415290232681,376.42935452897046
403226,-3.508771043711448,461.8043734169132,2.655182775571698,465.3131444606247
403232,-7.436596831638628,524.4134797955829,3.8870835828428656,531.8500766272216
404207,-2.639313704779596,442.4854752624489,2.8940768766217277,445.1247889672285
405205,-70.10196500989835,385.45053673199266,2.3815004537549718,455.552501741891
405209,-41.130498148924985,445.07530390076687,2.030996773800289,486.20580204969184
405212,-3.0080517489453626,257.1032669757011,2.892264563382867,260.1113187246465
405214,-20.40355527122196,387.8720520761541,2.4895200580440604,408.2756073473761
405215,-117.58689048032048,415.6244731692251,2.0893574195982687,533.2113636495455
405217,-24.30756410251955,279.81711221422586,2.2881161188018324,304.1246763167454
405219,-8.781222915425346,397.8172094338297,2.298345116659925,406.59843234925506
405226,-0.7523176221620211,220.60705537070987,2.488426876186536,221.3593729928719
405227,-11.739863394603432,465.75900156904214,2.3098718889433085,477.4988649636456
405228,-3.167191410218887,265.1126530291183,2.5317689097427976,268.2798444393372
405229,-10.841279404017726,166.70226360004136,2.829630425042569,177.54354300405907
405230,-7.7358570937333155,171.51172495830363,2.890578631291877,179.24758205203693
405231,-14.902908248893638,378.855148410585,3.388877992242222,393.75805665947865
405238,-0.4905628680433676,272.36507613966234,2.525193307462327,272.8556390077057
405240,-0.18215968168355623,240.71561136698568,2.4614370724112433,240.89777104866923
405241,-201.48240173738463,640.1690165612532,1.25142892689851,841.65141829863785
405245,-0.25788895896442376,266.75084199449134,2.997633493772554,267.00873095345577
405248,-0.3373834374081497,187.37799241392838,2.85125176359426,187.71537585133655
405251,-5.9580849091816965,539.6067928724287,4.064115250279918,545.5648777816104
405264,-22.488163092264998,476.2408198453039,2.3900197009065596,498.7289829375689
405274,-0.8303814909843927,297.18592094888396,2.3427513707046095,298.01630243986835
406214,-1.1820179400166637,216.84794199620245,2.7785169327731802,218.02995993621911
406224,-17.29544789064039,184.36895471408155,2.807577506674051,201.66440260472194
406226,-4.202645481713645,199.61742990071633,2.531706692876269,203.82007538243
406235,-2.4105662327958157,211.4127970382861,2.3922904277110644,213.82336327108192
406250,-2.2224243311264473,394.1297083594086,2.2674472174931095,396.35213269053503
407214,-0.4892777164655904,280.88015309284236,2.8461196556930135,281.36943080930797
407253,-26.289920354577802,166.89683537222365,2.6728994872004326,193.18675572680144
408202,-47.21067302429894,241.89975975374887,2.6036219903328712,289.1104327780478
408206,-1.670869375640521,238.49323925826712,2.8534536891207156,240.16410863390763
410033,-13.908841441017685,333.10664450838686,5.319107534160212,347.01548594940454
410047,-4.6208729659454235,311.0780995287653,2.8372923655520585,315.6989724947107
410061,-13.504110371065039,516.5137711939371,3.1962412110733798,530.0178815650022
410088,-139.8589808345941,469.935035172038,2.44865075726759,609.7940160066321
410156,-1.305577361700557,224.38660125021357,2.3883636531857504,225.69217861191413
410705,-11.861916814130524,169.21130349537566,3.1245722750104985,181.07322030950618
410730,-21.35128173943837,400.5641530643459,2.443723647234831,421.91543480378425
410731,-6.871619675888638,295.4922722601545,4.085345293094969,302.36389193604316
410734,-21.03412197841233,204.76098496145053,3.6496482802765136,225.79510693986288
410761,-5.7299242453704125,202.8111126328324,3.4365706534214104,208.54103687820282
412029,-0.5126745864774875,188.8869790004185,2.4958017559846626,189.399653586896
412066,-4.023094561766733,230.55552068609862,2.8416863507427768,234.57861524786534
415237,-12.948485163809096,168.55155414567355,2.79651988734397,181.50003930948264
415238,-1.1877526803852696,201.87872428714167,2.748377037971469,203.06647696752694
415245,-4.07599662686826,218.82400933273811,3.1331249011717897,222.90000595960637
416003,-78.84008199134485,112.90983774171977,2.8155537904945067,191.74991973306462
422202B,-6.731599269787452,98.77496279590201,2.4342520399505903,105.50656206568947
422306A,-74.47419499408585,149.7840171232042,2.4028017759767963,224.25821211729004
422319B,-111.73886465533323,137.070055343648,2.3992809915442668,248.80891999898122
422321B,-24.21080016556997,241.9541850749264,1.7737416289455856,266.1649852404964
422334A,-9.183326742928514,123.73568798736177,2.7857672018979662,132.91901473029029
422338A,-18.593094949120115,78.88012880310866,2.653335503951881,97.47322375222878
422394A,-75.18525239905634,156.04172598812227,2.4885023634217776,231.2269783871786
A4260533,-3.0389694239139935,196.0547139573156,2.7186081030345797,199.0936833812296
